DateTime,Original Tweet,Processed Tweet
2016-11-25 18:25:26+00:00,ICYMI: Chair @donnabrazile on what's next for Democrats → https://medium.com/to-the-left/our-fight-begins-anew-b93f73a7b70e#.nr1h4rrad,"['icymi', 'chair', 'whats', 'next', 'democrats', '→']"
2016-11-25 16:56:27+00:00,So much to celebrate from the past eight years.,"['much', 'celebrate', 'past', 'eight', 'year']"
2016-11-25 15:37:05+00:00,Going back to your Republican uncle's in December? Put this on your car first: http://bit.ly/2gkxzet,"['going', 'back', 'republican', 'uncle', 'december', 'put', 'car', 'first']"
2016-11-24 14:53:00+00:00,"On behalf of the Democratic Party, have a very happy Thanksgiving.","['behalf', 'democratic', 'party', 'happy', 'thanksgiving']"
2016-11-24 01:04:27+00:00,#WednesdayWisdom,['wednesdaywisdom']
2016-11-23 23:53:16+00:00,"Nikki Haley, who opposed the Iran nuclear deal (which would block Iran's path to a bomb), is Trump's nominee for ambassador to the UN.","['nikki', 'haley', 'oppose', 'iran', 'nuclear', 'deal', 'would', 'block', 'irans', 'path', 'bomb', 'trumps', 'nominee', 'ambassador', 'un']"
2016-11-23 21:30:51+00:00,"Betsy DeVos, called the ""four-star general of the voucher movement,"" is Trump's pick to head the Department of Education.","['betsy', 'devos', 'call', 'fourstar', 'general', 'voucher', 'movement', 'trumps', 'pick', 'head', 'department', 'education']"
2016-11-23 18:11:06+00:00,"Bookmark this page for tomorrow, just in case Uncle Steve gets you down:","['bookmark', 'page', 'tomorrow', 'case', 'uncle', 'steve', 'get']"
2016-11-23 15:38:10+00:00,Say thanks to President Obama: http://bit.ly/2fCv0mn,"['say', 'thanks', 'president', 'obama']"
2016-11-23 01:31:19+00:00,"Thanks, Obama.","['thanks', 'obama']"
2016-11-22 21:22:57+00:00,Say you're ready to keep fighting: http://bit.ly/2fj3lGd,"['say', 'youre', 'ready', 'keep', 'fighting']"
2016-11-22 20:17:21+00:00,"Thanks, Obama. #TransformationTuesday","['thanks', 'obama', 'transformationtuesday']"
2016-11-22 19:24:05+00:00,"From the bottom of our hearts, thank you to every Democrat who fought alongside us this year. Here's what's next:","['bottom', 'heart', 'thank', 'every', 'democrat', 'fight', 'alongside', 'us', 'year', 'heres', 'whats', 'next']"
2016-11-22 16:51:13+00:00,"If the fight at your table is more intense than the fight on the football field, donate in honor of your relatives: http://yourrepublicanuncle.com","['fight', 'table', 'intense', 'fight', 'football', 'field', 'donate', 'honor', 'relative']"
2016-11-22 15:25:29+00:00,Donald Trump's international business dealings present some serious conflicts of interest as president: http://wapo.st/2fiatG7,"['donald', 'trumps', 'international', 'business', 'dealing', 'present', 'serious', 'conflict', 'interest', 'president']"
2016-11-22 13:59:30+00:00,"As Trump maintains close ties to his businesses, who knows if he’ll act in the country’s interests or his own:","['trump', 'maintain', 'close', 'tie', 'business', 'know', '’', 'act', 'country', '’', 'interest']"
2016-11-22 01:17:48+00:00,Donald Trump is already using the presidency to advance his business interests: http://nyti.ms/2fGHlIY,"['donald', 'trump', 'already', 'use', 'presidency', 'advance', 'business', 'interest']"
2016-11-21 23:15:03+00:00,"ICYMI: What Donald Trump needs to understand about Japanese internment, by @GeorgeTakei https://medium.com/to-the-left/we-cant-go-back-41da17a1cd01#.o5gz1na73","['icymi', 'donald', 'trump', 'need', 'understand', 'japanese', 'internment']"
2016-11-21 21:12:35+00:00,Trump's business presents huge conflicts of interest:,"['trumps', 'business', 'present', 'huge', 'conflict', 'interest']"
2016-11-21 19:46:14+00:00, ,[]
2016-11-21 18:40:51+00:00,"Already, Donald Trump has shown how porous the wall between his business and diplomacy could be. http://wapo.st/2fiatG7","['already', 'donald', 'trump', 'show', 'porous', 'wall', 'business', 'diplomacy', 'could']"
2016-11-21 16:17:07+00:00,Show that you're on the right side of history: http://bit.ly/2gega6y,"['show', 'youre', 'right', 'side', 'history']"
2016-11-21 00:22:51+00:00,Inspiration for the week ahead.,"['inspiration', 'week', 'ahead']"
